Parcel_ID,O_zone,D_zone,CEP,Network,Type
90524,2341,4604,DPD,conventional,tour-based
90524,4604,2276,DPD,conventional,tour-based
90547,3216,2668,PostNL,conventional,tour-based
90547,2668,2276,PostNL,conventional,tour-based
90560,2343,4604,DPD,conventional,tour-based
90560,4604,2277,DPD,conventional,tour-based
90572,6772,2668,PostNL,conventional,tour-based
90572,2668,2277,PostNL,conventional,tour-based
90609,2295,2668,PostNL,conventional,tour-based
90609,2668,2278,PostNL,conventional,tour-based
90618,2623,2668,PostNL,conventional,tour-based
90618,2668,2278,PostNL,conventional,tour-based
90633,4773,5501,DHL,conventional,tour-based
90633,5501,2662,DHL,conventional,consolidated
90633,2662,2279,DHL,conventional,tour-based
90636,2433,2668,PostNL,conventional,tour-based
90636,2668,2279,PostNL,conventional,tour-based
90643,1034,1044,DHL,conventional,tour-based
90643,1044,2662,DHL,conventional,consolidated
90643,2662,2280,DHL,conventional,tour-based
90649,2335,1044,DHL,conventional,tour-based
90649,1044,2662,DHL,conventional,consolidated
90649,2662,2280,DHL,conventional,tour-based
90669,267,2668,PostNL,conventional,tour-based
90669,2668,2280,PostNL,conventional,tour-based
90713,841,2668,PostNL,conventional,tour-based
90713,2668,2281,PostNL,conventional,tour-based
90753,5936,5501,DHL,conventional,tour-based
90753,5501,2662,DHL,conventional,consolidated
90753,2662,2283,DHL,conventional,tour-based
90754,5327,5501,DHL,conventional,tour-based
90754,5501,2662,DHL,conventional,consolidated
90754,2662,2283,DHL,conventional,tour-based
90763,2501,4604,DPD,conventional,tour-based
90763,4604,2283,DPD,conventional,tour-based
90795,5444,5501,DHL,conventional,tour-based
90795,5501,2662,DHL,conventional,consolidated
90795,2662,2287,DHL,conventional,tour-based
90835,141,4604,DPD,conventional,tour-based
90835,4604,2288,DPD,conventional,tour-based
90837,2429,2668,PostNL,conventional,tour-based
90837,2668,2288,PostNL,conventional,tour-based
90843,467,2668,PostNL,conventional,tour-based
90843,2668,2288,PostNL,conventional,tour-based
90854,2415,4604,DPD,conventional,tour-based
90854,4604,2288,DPD,conventional,tour-based
90862,2398,4604,DPD,conventional,tour-based
90862,4604,2289,DPD,conventional,tour-based
90868,2375,2668,PostNL,conventional,tour-based
90868,2668,2289,PostNL,conventional,tour-based
90872,2290,2668,PostNL,conventional,tour-based
90872,2668,2289,PostNL,conventional,tour-based
90936,2362,2668,PostNL,conventional,tour-based
90936,2668,2290,PostNL,conventional,tour-based
90944,2423,2668,PostNL,conventional,tour-based
90944,2668,2290,PostNL,conventional,tour-based
90945,2312,2668,PostNL,conventional,tour-based
90945,2668,2290,PostNL,conventional,tour-based
90951,7374,7399,PostNL,conventional,tour-based
90951,7399,2668,PostNL,conventional,consolidated
90951,2668,2290,PostNL,conventional,tour-based
90959,5907,6955,PostNL,conventional,tour-based
90959,6955,2668,PostNL,conventional,consolidated
90959,2668,2290,PostNL,conventional,tour-based
90961,7331,7399,PostNL,conventional,tour-based
90961,7399,2668,PostNL,conventional,consolidated
90961,2668,2290,PostNL,conventional,tour-based
90964,6858,2668,PostNL,conventional,tour-based
90964,2668,2290,PostNL,conventional,tour-based
90981,2420,2668,PostNL,conventional,tour-based
90981,2668,2290,PostNL,conventional,tour-based
90984,2428,2668,PostNL,conventional,tour-based
90984,2668,2290,PostNL,conventional,tour-based
